t_ms,ax_g,ay_g,az_g
10723,0.0098,-0.9954,0.0830
10775,0.0076,-1.0029,0.0803
10827,0.0029,-0.9971,0.0767
10879,0.0059,-0.9980,0.0876
10931,0.0044,-1.0002,0.0818
10983,0.0034,-0.9983,0.0884
11035,0.0056,-0.9993,0.0828
11087,0.0059,-0.9995,0.0874
11139,0.0054,-1.0029,0.0815
11191,0.0085,-1.0032,0.0803
11243,0.0110,-1.0000,0.0774
11295,0.0078,-1.0024,0.0828
11347,0.0049,-1.0007,0.0847
11399,0.0066,-1.0017,0.0881
11451,0.0042,-1.0015,0.0791
11503,0.0088,-0.9980,0.0713
11555,0.0071,-0.9973,0.0793
11607,0.0039,-0.9980,0.0740
11659,0.0046,-1.0032,0.0740
11711,0.0063,-1.0024,0.0793
11763,0.0066,-0.9985,0.0750
11815,0.0120,-1.0015,0.0793
11867,0.0063,-0.9976,0.0732
11919,0.0081,-1.0007,0.0811
11971,0.0085,-0.9956,0.0808
12023,0.0066,-1.0005,0.0791
12075,0.0081,-0.9990,0.0823
12127,0.0054,-1.0002,0.0759
12179,0.0056,-1.0034,0.0774
12231,0.0093,-1.0034,0.0752
12283,0.0066,-0.9968,0.0806
12335,0.0044,-1.0020,0.0796
12387,0.0061,-1.0046,0.0823
12439,0.0090,-0.9966,0.0793
12491,0.0105,-1.0046,0.0762
12543,0.0068,-1.0005,0.0808
12595,0.0083,-0.9951,0.0801
12647,0.0112,-1.0024,0.0798
